Team,2014,2015,2016,2017,2018,2019,2020,2021
LAA,95,97,97,98,99,101,102,102
BAL,102,101,100,102,100,102,102,102
BOS,105,104,105,105,104,105,105,105
CHW,101,99,99,98,99,99,101,101
CLE,102,102,104,104,103,100,100,100
DET,101,102,100,101,102,100,99,99
KCR,103,102,101,102,102,102,103,103
MIN,102,102,102,101,101,100,98,98
NYY,101,101,101,100,100,99,99,99
OAK,96,98,98,97,96,96,94,94
SEA,96,96,95,96,96,96,95,95
TBR,97,97,97,96,96,95,95,95
TEX,104,105,108,109,109,109,99,99
TOR,102,101,100,100,101,99,104,104
ARI,105,105,105,105,101,101,101,101
ATL,99,99,99,102,102,102,103,103
CHC,99,100,100,100,99,101,99,99
CIN,101,101,102,102,102,105,106,106
COL,118,116,116,115,114,113,113,113
MIA,98,97,95,95,95,95,97,97
HOU,98,97,96,97,96,98,100,100
LAD,95,96,96,96,95,97,97,97
MIL,103,102,101,101,100,101,100,100
WSN,100,101,102,102,102,101,101,101
NYM,95,95,94,94,95,93,94,94
PHI,99,100,99,100,100,101,101,101
PIT,96,98,98,98,99,99,100,100
STL,98,97,98,96,96,95,96,96
SDP,95,95,97,97,97,96,96,96
SFG,95,96,97,96,97,96,97,97
